grid_lat,grid_lon,cell_num,nr_cell_num,lte_cell_num
39.7775,-86.1555,35,17,18
39.7775,-86.155,26,13,13
39.7775,-86.1545,19,9,10
39.7775,-86.154,21,9,12
39.7775,-86.1535,33,9,24
39.7775,-86.153,26,10,16
39.7775,-86.1525,19,8,11
39.7775,-86.152,40,12,28
39.7775,-86.1515,36,8,28
39.7775,-86.151,20,7,13
39.7775,-86.1505,19,7,12
39.778,-86.158,2,2,0
