pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,instance_number,duration_sample_number
240,66811,880,125290,None,None,None,None,None,None,None,None,None,None,None,None,1,41
240,66811,846,125290,None,None,None,None,None,None,None,None,None,None,None,None,3,596
105,66811,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,150
217,66811,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,5
217,66811,374,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,26
248,66811,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,284
248,66811,374,519630,None,None,None,None,None,None,None,None,None,None,None,None,2,170
397,66811,455,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,343
397,66811,802,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,88
43,66811,595,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,18
293,66811,369,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,7
379,66811,374,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,137
410,66811,367,519630,None,None,None,None,None,None,None,None,None,None,None,None,2,632
82,66811,436,519630,None,None,None,None,None,None,None,None,None,None,None,None,2,318
144,66811,261,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,12
97,66811,651,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,177
31,66811,431,519630,None,None,None,None,None,None,None,None,None,None,None,None,2,305
97,66811,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,164
90,66811,880,125290,None,None,None,None,None,None,None,None,None,None,None,None,1,144
None,None,680,125290,None,None,None,None,None,None,None,None,None,None,None,None,1,1664
None,None,825,125290,None,None,None,None,None,None,None,None,None,None,None,None,1,5057
90,66811,880,125290,51,1123,None,None,None,None,None,None,None,None,None,None,1,3189
152,66811,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,169
68,66811,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,39
179,66811,815,125290,None,None,None,None,None,None,None,None,None,None,None,None,2,51
431,66811,293,519630,None,None,293,1123,None,None,None,None,None,None,None,None,1,65
252,66811,293,519630,None,None,12,1123,None,None,None,None,None,None,None,None,1,769
467,66811,436,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,180
291,66811,264,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,1243
154,1123,106,519630,58,66811,None,None,None,None,None,None,None,None,None,None,2,65
12,1123,106,519630,None,None,252,66811,None,None,None,None,None,None,None,None,1,123
93,1123,106,519630,54,66811,None,None,None,None,None,None,None,None,None,None,1,28
154,1123,207,519630,58,66811,None,None,None,None,None,None,None,None,None,None,1,5
