Region,Operator,Type,Cell,Freq,Band
V-R10,V,LTE,272,56140,48
V-R10,V,LTE,272,55942,48
V-R10,V,LTE,272,55744,48
V-R9,V,LTE,208,66536,66
V-R9,V,LTE,208,925,2
V-R9,V,LTE,208,2561,5
V-R9,V,LTE,379,66536,66
V-R11,V,LTE,379,925,2
V-R9,V,LTE,379,2561,5
V-R9,V,LTE,243,2561,5
V-R10,V,LTE,379,2050,4
V-R10,V,LTE,222,925,2
V-R10,V,LTE,45,2050,4
V-R9,V,LTE,275,5230,13
V-R10,V,LTE,275,2050,4
V-R9,V,LTE,244,5230,13
V-R10,V,LTE,244,2050,4
V-R9,V,LTE,209,5230,13
V-R10,V,LTE,209,2050,4
V-R9,V,LTE,135,5230,13
V-R9,V,LTE,243,2050,4
V-R6,V,LTE,85,5230,13
V-R10,V,LTE,85,2050,4
V-R6,V,LTE,115,5230,13
V-R10,V,LTE,271,53341,46
V-R10,V,LTE,271,53140,46
V-R9,V,LTE,208,5230,13
V-R10,V,LTE,208,2050,4
V-R9,V,LTE,379,5230,13
V-R9,V,LTE,222,5230,13
V-R9,V,LTE,115,925,2
V-R9,V,LTE,65,66536,66
V-R9,V,LTE,65,925,2
V-R9,V,LTE,65,5230,13
V-R9,V,LTE,81,66536,66
V-R10,V,LTE,353,56440,48
V-R10,V,LTE,353,56044,48
V-R10,V,LTE,353,56242,48
V-R10,V,LTE,272,47489,46
V-R10,V,LTE,272,47291,46
V-R10,V,LTE,272,47090,46
V-R9,V,LTE,115,2561,5
V-R9,V,LTE,181,66536,66
V-R7,V,LTE,181,5230,13
V-R9,V,LTE,181,925,2
V-R9,V,LTE,88,925,2
V-R10,V,LTE,224,56442,48
V-R9,V,LTE,224,2561,5
V-R9,V,LTE,224,925,2
V-R9,V,LTE,329,925,2
V-R9,V,LTE,329,66536,66
V-R10,V,LTE,329,56142,48
V-R10,V,LTE,329,56340,48
V-R10,V,LTE,308,52740,46
V-R10,V,LTE,308,52941,46
V-R10,V,LTE,308,53139,46
V-R9,V,LTE,269,925,2
V-R10,V,LTE,226,47090,46
V-R6,V,LTE,226,47291,46
V-R10,V,LTE,226,47489,46
V-R9,V,LTE,269,66536,66
V-R9,V,LTE,181,2561,5
V-R9,V,LTE,269,2561,5
V-R10,V,LTE,225,47090,46
V-R10,V,LTE,225,47291,46
V-R10,V,LTE,224,56240,48
V-R10,V,LTE,224,56042,48
V-R10,V,LTE,222,55340,48
V-R10,V,LTE,223,56240,48
V-R10,V,LTE,222,56042,48
V-R9,V,LTE,222,2561,5
V-R9,V,LTE,326,56242,48
V-R10,V,LTE,222,56240,48
V-R10,V,LTE,223,56042,48
V-R9,V,LTE,65,2561,5
V-R10,V,LTE,351,53341,46
V-R10,V,LTE,351,53140,46
V-R9,V,LTE,81,925,2
V-R9,V,LTE,443,66536,66
V-R10,V,LTE,225,56440,48
V-R10,V,LTE,226,56242,48
V-R9,V,LTE,14,66536,66
V-R6,V,LTE,14,2561,5
V-R10,V,LTE,14,925,2
V-R10,V,LTE,308,56440,48
V-R10,V,LTE,308,56044,48
V-R10,V,LTE,308,56242,48
V-R9,V,LTE,326,56044,48
V-R10,V,LTE,306,53141,46
V-R10,V,LTE,306,52940,46
V-R10,V,LTE,224,55340,48
V-R10,V,LTE,225,56044,48
V-R10,V,LTE,226,56044,48
V-R9,V,LTE,326,56440,48
