Region,Operator,Type,Cell,Freq,Band
A-R2,A,LTE,232,66486,66
A-R2,A,LTE,238,9820,30
A-R2,A,LTE,307,66661,66
A-R2,A,LTE,272,850,2
A-R2,A,LTE,169,850,2
A-R2,A,LTE,489,52740,46
A-R2,A,LTE,490,52941,46
A-R3,A,LTE,491,53139,46
A-R1,A,LTE,269,850,2
A-R3,A,LTE,402,52740,46
A-R1,A,LTE,401,52941,46
A-R1,A,LTE,357,53139,46
A-R2,A,LTE,27,850,2
A-R1,A,LTE,323,5110,12
A-R5,A,LTE,490,5110,12
A-R2,A,LTE,158,850,2
A-R2,A,LTE,400,52941,46
A-R2,A,LTE,403,52740,46
A-R2,A,LTE,270,850,2
A-R1,A,LTE,179,52740,46
A-R3,A,LTE,318,52941,46
A-R2,A,LTE,370,53139,46
A-R5,A,LTE,226,5330,14
A-R2,A,LTE,155,850,2
A-R2,A,LTE,323,66486,66
A-R2,A,LTE,252,850,2
A-R2,A,LTE,213,850,2
A-R1,A,LTE,412,53140,46
A-R1,A,LTE,158,53341,46
A-R1,A,LTE,337,53539,46
A-R1,A,LTE,422,850,2
A-R2,A,LTE,329,850,2
A-R2,A,LTE,101,850,2
A-R2,A,LTE,369,850,2
A-R3,A,LTE,67,53139,46
A-R2,A,LTE,53,850,2
A-R2,A,LTE,30,53139,46
A-R5,A,LTE,422,53139,46
A-R2,A,LTE,421,52941,46
A-R2,A,LTE,218,850,2
A-R5,A,LTE,304,53139,46
A-R1,A,LTE,152,850,2
A-R2,A,LTE,334,850,2
A-R2,A,LTE,436,52941,46
A-R1,A,LTE,143,52940,46
A-R1,A,LTE,89,53141,46
A-R1,A,LTE,96,53339,46
A-R1,A,LTE,326,53140,46
A-R1,A,LTE,324,53341,46
A-R1,A,LTE,325,53539,46
A-R5,A,LTE,265,9820,30
A-R2,A,LTE,275,66936,66
A-R2,A,LTE,362,850,2
A-R5,A,LTE,242,5110,12
A-R2,A,LTE,408,850,2
A-R2,A,LTE,286,850,2
A-R2,A,LTE,394,52740,46
A-R3,A,LTE,36,5110,12
A-R3,A,LTE,317,5110,12
A-R3,A,LTE,153,53139,46
A-R2,A,LTE,61,9820,30
A-R1,A,LTE,431,66486,66
A-R2,A,LTE,107,850,2
A-R3,A,LTE,377,5110,12
A-R2,A,LTE,143,850,2
A-R1,A,LTE,444,850,2
A-R1,A,LTE,387,66486,66
A-R1,A,LTE,188,850,2
A-R1,A,LTE,266,52941,46
A-R5,A,LTE,3,53139,46
A-R1,A,LTE,148,850,2
A-R1,A,LTE,208,66936,66
A-R2,A,LTE,318,850,2
A-R4,A,LTE,45,52740,46
A-R1,A,LTE,290,52941,46
A-R3,A,LTE,47,53139,46
A-R2,A,LTE,357,850,2
A-R2,A,LTE,380,850,2
A-R1,A,LTE,9,53139,46
A-R5,A,LTE,11,52941,46
A-R1,A,LTE,17,52740,46
A-R2,A,LTE,323,850,2
A-R2,A,LTE,91,850,2
A-R2,A,LTE,294,66486,66
A-R2,A,LTE,44,66936,66
A-R1,A,LTE,224,52941,46
A-R3,A,LTE,359,53139,46
A-R1,A,LTE,267,5110,12
A-R4,A,LTE,313,5110,12
A-R1,A,LTE,196,66486,66
A-R5,A,LTE,62,5110,12
A-R2,A,LTE,368,850,2
A-R2,A,LTE,49,66486,66
A-R1,A,LTE,392,66661,66
A-R3,A,LTE,60,5110,12
A-R2,A,LTE,358,850,2
A-R1,A,LTE,50,52740,46
A-R1,A,LTE,60,52941,46
A-R2,A,LTE,309,850,2
A-R1,A,LTE,407,66936,66
A-R5,A,LTE,77,9820,30
A-R1,A,LTE,443,66486,66
A-R5,A,LTE,243,5110,12
A-R2,A,LTE,407,850,2
A-R1,A,LTE,60,850,2
A-R1,A,LTE,75,52740,46
A-R1,A,LTE,76,52941,46
A-R1,A,LTE,308,53139,46
A-R1,A,LTE,503,66936,66
A-R1,A,LTE,244,850,2
A-R1,A,LTE,268,5110,12
A-R1,A,LTE,301,66486,66
A-R2,A,LTE,67,850,2
A-R2,A,LTE,299,850,2
A-R2,A,LTE,11,850,2
A-R5,A,LTE,26,5110,12
A-R2,A,LTE,192,850,2
A-R2,A,LTE,216,850,2
A-R2,A,LTE,387,850,2
A-R1,A,LTE,312,52740,46
A-R1,A,LTE,313,52941,46
A-R1,A,LTE,314,53139,46
A-R4,A,LTE,448,9820,30
A-R2,A,LTE,85,850,2
A-R1,A,LTE,464,66486,66
A-R1,A,LTE,347,66486,66
A-R2,A,LTE,106,850,2
A-R1,A,LTE,450,66936,66
A-R1,A,LTE,450,5330,14
A-R2,A,LTE,304,850,2
A-R2,A,LTE,470,66936,66
A-R2,A,LTE,266,850,2
A-R2,A,LTE,368,66486,66
A-R1,A,LTE,323,5330,14
A-R3,A,LTE,407,5110,12
A-R2,A,LTE,183,850,2
A-R1,A,LTE,469,52740,46
A-R1,A,LTE,363,53139,46
A-R1,A,LTE,456,52941,46
A-R1,A,LTE,301,53141,46
A-R1,A,LTE,302,53339,46
A-R1,A,LTE,300,52940,46
A-R1,A,LTE,5,52941,46
A-R2,A,LTE,55,850,2
A-R2,A,LTE,76,850,2
A-R2,A,LTE,345,850,2
A-R1,A,LTE,490,850,2
A-R2,A,LTE,23,5330,14
A-R1,A,LTE,444,53139,46
A-R1,A,LTE,446,52941,46
A-R3,A,LTE,257,5330,14
A-R2,A,LTE,208,66486,66
A-R2,A,LTE,246,850,2
A-R1,A,LTE,355,53339,46
A-R1,A,LTE,414,53141,46
A-R1,A,LTE,448,52940,46
A-R2,A,LTE,290,850,2
A-R2,A,LTE,433,850,2
A-R2,A,LTE,351,66486,66
A-R2,A,LTE,225,66486,66
A-R2,A,LTE,222,66936,66
A-R4,A,LTE,273,5330,14
A-R2,A,LTE,366,66661,66
