pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,instance_number,duration_sample_number
353,925,314,176930,431,47090,431,47291,431,47489,None,None,None,None,None,None,1,7
353,925,353,176930,431,47090,431,47291,431,47489,None,None,None,None,None,None,1,60
439,925,353,176930,434,47090,434,47291,434,47489,None,None,None,None,None,None,1,35
439,925,439,176930,None,None,None,None,None,None,None,None,None,None,None,None,2,108
439,925,224,176930,None,None,None,None,None,None,None,None,None,None,None,None,2,169
224,925,224,176930,103,47090,103,47291,104,47489,None,None,None,None,None,None,1,1209
220,925,None,None,6,47489,6,47090,6,47291,None,None,None,None,None,None,2,25
282,66536,282,176930,47,56140,None,None,None,None,None,None,None,None,None,None,1,41
213,66536,None,None,21,55942,21,55744,21,56140,None,None,None,None,None,None,1,11
213,66536,108,176930,21,55744,None,None,None,None,None,None,None,None,None,None,3,26
413,66536,479,2239999,477,47489,477,47291,477,47090,None,None,None,None,None,None,1,25
413,66536,108,176930,477,55942,None,None,None,None,None,None,None,None,None,None,2,62
390,66536,107,176930,None,None,None,None,None,None,None,None,None,None,None,None,1,26
81,925,None,None,38,55942,38,55744,38,56140,None,None,None,None,None,None,1,680
153,925,None,None,153,2050,153,2561,None,None,None,None,None,None,None,None,5,1532
153,2561,None,None,153,2050,153,925,None,None,None,None,None,None,None,None,2,68
228,5230,None,None,228,2050,None,None,None,None,None,None,None,None,None,None,1,36
228,5230,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3,48
153,5230,None,None,153,2050,153,925,None,None,None,None,None,None,None,None,2,89
81,66536,None,None,38,55744,38,55942,38,56140,None,None,None,None,None,None,1,11
81,925,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,91
117,66536,None,None,362,5230,None,None,None,None,None,None,None,None,None,None,39,5064
362,66536,239,176930,None,None,None,None,None,None,None,None,None,None,None,None,11,376
285,66536,None,None,285,925,285,5230,None,None,None,None,None,None,None,None,55,24080
213,66536,18,176930,21,56044,None,None,None,None,None,None,None,None,None,None,9,1714
213,66536,413,176930,21,56044,None,None,None,None,None,None,None,None,None,None,4,75
390,66536,100,176930,390,5230,None,None,None,None,None,None,None,None,None,None,1,1
446,66536,None,None,112,53140,112,53341,446,2561,None,None,None,None,None,None,1,3
446,66536,388,176930,112,53140,112,53341,446,2561,None,None,None,None,None,None,1,1
446,66536,112,2071667,112,53140,112,53341,446,2561,None,None,None,None,None,None,1,472
446,66536,404,2071667,112,53140,112,53341,446,2561,None,None,None,None,None,None,1,57
446,66536,111,2071667,112,53140,112,53341,446,2561,None,None,None,None,None,None,1,29
446,66536,316,2071667,112,53140,112,53341,446,2561,None,None,None,None,None,None,1,82
356,66536,315,2071667,239,47290,239,47491,356,925,None,None,None,None,None,None,4,402
356,66536,None,None,239,47491,239,47290,356,925,None,None,None,None,None,None,1,5
356,66536,356,176930,238,56242,None,None,None,None,None,None,None,None,None,None,2,533
362,66536,280,176930,None,None,None,None,None,None,None,None,None,None,None,None,1,5
