grid_lat,grid_lon,cell_num,nr_cell_num,lte_cell_num
41.898,-87.6295,85,7,78
41.898,-87.629,36,3,33
41.898,-87.6285,48,3,45
41.898,-87.628,111,8,103
41.8985,-87.631,63,6,57
41.8985,-87.6305,47,3,44
41.8985,-87.63,45,3,42
41.8985,-87.6295,91,7,84
41.8985,-87.629,8,2,6
41.8985,-87.6285,17,2,15
41.8985,-87.628,63,7,56
41.899,-87.632,21,4,17
41.899,-87.6315,22,4,18
41.899,-87.631,68,10,58
41.899,-87.6295,94,7,87
41.899,-87.629,55,3,52
41.899,-87.6285,57,3,54
41.899,-87.628,85,9,76
41.8995,-87.6315,8,4,4
41.8995,-87.631,66,9,57
41.8995,-87.6305,44,6,38
41.8995,-87.63,63,6,57
41.8995,-87.6295,111,8,103
41.8995,-87.629,68,8,60
41.8995,-87.6285,60,8,52
41.8995,-87.628,97,9,88
41.9,-87.6315,7,3,4
41.9,-87.631,21,4,17
41.9,-87.6305,8,3,5
41.9,-87.63,11,3,8
41.9,-87.6295,67,7,60
41.9,-87.629,19,4,15
41.9,-87.628,48,9,39
41.897,-87.6285,9,1,8
41.8935,-87.6245,10,5,5
