grid_lat,grid_lon,total_sample,mw_sample,mw_ratio,sub6_sample,sub6_ratio,5g_sample,5g_ratio,lte_sample,lte_ratio,total_cs_sample,mw_cs_sample,mw_cs_ratio,sub6_cs_sample,sub6_cs_ratio,5g_cs_sample,5g_cs_sample,lte_cs_sample,lte_cs_ratio
-86.1655,39.771,838,703,0.838902148,0,0,703,0.838902148,135,0.161097852,17,9,0.529411765,0,0,9,0.529411765,8,0.470588235
-86.165,39.761,880,723,0.821590909,0,0,723,0.821590909,157,0.178409091,25,13,0.52,0,0,13,0.52,12,0.48
-86.165,39.7615,8950,588,0.065698324,287,0.032067039,875,0.097765363,8075,0.902234637,86,19,0.220930233,3,0.034883721,22,0.255813953,64,0.744186047
-86.165,39.767,3420,2048,0.598830409,284,0.083040936,2332,0.681871345,1088,0.318128655,41,14,0.341463415,3,0.073170732,17,0.414634146,24,0.585365854
-86.165,39.77,1238,165,0.133279483,0,0,165,0.133279483,1073,0.866720517,55,7,0.127272727,0,0,7,0.127272727,48,0.872727273
-86.165,39.771,699,373,0.533619456,0,0,373,0.533619456,326,0.466380544,40,15,0.375,0,0,15,0.375,25,0.625
-86.1645,39.7615,2275,0,0,171,0.075164835,171,0.075164835,2104,0.924835165,34,0,0,5,0.147058824,5,0.147058824,29,0.852941176
-86.1645,39.767,1561,485,0.31069827,535,0.34272902,1020,0.65342729,541,0.34657271,39,13,0.333333333,5,0.128205128,18,0.461538462,21,0.538461538
-86.1645,39.77,2362,1180,0.49957663,0,0,1180,0.49957663,1182,0.50042337,34,8,0.235294118,0,0,8,0.235294118,26,0.764705882
-86.1645,39.771,712,2,0.002808989,0,0,2,0.002808989,710,0.997191011,17,2,0.117647059,0,0,2,0.117647059,15,0.882352941
-86.164,39.7615,40746,68,0.001668875,27763,0.681367496,27831,0.683036372,12915,0.316963628,274,3,0.010948905,87,0.317518248,90,0.328467153,184,0.671532847
